accession_id,total_reads,genus,genus_taxid,genus_true_positive,genus_true_negative,genus_false_positive,genus_false_negative,species,species_taxid,species_true_positive,species_true_negative,species_false_positive,species_false_negative
NZ_LR134375.1,1468,Veillonella,29465,74262,1780204,14,68,Veillonella dispar,39778,1366,1853077,3,102
NZ_CP019721.1,380,Veillonella,29465,74262,1780204,14,68,Veillonella parvula,29466,378,1854124,44,2
NZ_AP022321.1,146,Veillonella,29465,74262,1780204,14,68,Veillonella nakazawae,2682456,125,1854395,7,21
NZ_JAGZUH010000001.1,8,Veillonella,29465,74262,1780204,14,68,Veillonella sp.,1926307,0,1854540,0,8
CP097095.1,7955,Actinomyces,1654,23676,1765008,9,65855,Actinomyces graevenitzii,55565,0,1846593,0,7955
NZ_CP124548.1,56095,Actinomyces,1654,23676,1765008,9,65855,Actinomyces israelii,1659,0,1798453,0,56095
NZ_CP012072.1,32474,Schaalia,2529408,59438,1782420,12616,74,Schaalia meyeri,52773,32456,1821306,768,18
NZ_CP082871.1,18558,Campylobacter,194,129535,1720372,25,4616,Campylobacter hominis,76517,18338,1835985,5,220
NC_001464.1,37816,Pospiviroid,185753,37816,1816732,0,0,Citrus exocortis viroid,12890,37816,1816732,0,0
NZ_CP073092.1,4853,Corynebacterium,1716,155828,1696232,453,2035,Corynebacterium tuberculostearicum,38304,4309,1849686,9,544
NZ_CP101133.1,30512,Corynebacterium,1716,155828,1696232,453,2035,Corynebacterium pseudotuberculosis,1719,30351,1824001,35,161
NZ_CP100372.1,7207,Corynebacterium,1716,155828,1696232,453,2035,Corynebacterium pseudodiphtheriticum,37637,6170,1845583,1758,1037
NZ_CP063195.1,29953,Corynebacterium,1716,155828,1696232,453,2035,Corynebacterium jeikeium,38289,28376,1824560,35,1577
NZ_CP100361.1,38110,Corynebacterium,1716,155828,1696232,453,2035,Corynebacterium propinquum,43769,34802,1815741,697,3308
NZ_CP024931.1,6865,Corynebacterium,1716,155828,1696232,453,2035,Corynebacterium striatum,43770,6558,1847650,33,307
NZ_AP027140.1,40363,Corynebacterium,1716,155828,1696232,453,2035,Corynebacterium ulcerans,65058,39343,1814172,13,1020
MN164484.2,29422,Guelphvirus,2732062,28120,1825126,0,1302,Escherichia virus ECH1,2593465,0,1825126,0,29422
NZ_CP046314.1,805,Gemella,1378,23563,1830685,181,119,Gemella morbillorum,29391,745,1853741,2,60
NZ_LR134378.1,32116,Lautropia,47670,32077,1822430,2,39,Lautropia mirabilis,47671,32077,1822430,2,39
NC_013192.1,45192,Leptotrichia,32067,84217,1769869,73,389,Leptotrichia buccalis,40542,42862,1809301,55,2330
OP288969.1,9250,Betacoronavirus,694002,88465,1762950,0,3133,Pangolin coronavirus,2708335,0,1845298,0,9250
NC_045512.2,17286,Betacoronavirus,694002,88465,1762950,0,3133,Severe acute respiratory syndrome-related coronavirus,694009,82348,1772200,0,0
NC_004718.3,65062,Betacoronavirus,694002,88465,1762950,0,3133,Severe acute respiratory syndrome-related coronavirus,694009,82348,1772200,0,0
NZ_CP133094.1,23744,Pseudomonas,286,45263,1808091,334,860,Pseudomonas aeruginosa,287,10586,1830730,74,13158
NZ_CP117438.1,22379,Pseudomonas,286,45263,1808091,334,860,Pseudomonas fluorescens,294,20098,1832130,39,2281
NZ_CP132330.1,32673,Bordetella,517,173388,1677680,30,3450,Bordetella bronchiseptica,518,10779,1819186,2689,21894
NZ_CP071602.1,54051,Bordetella,517,173388,1677680,30,3450,Bordetella parapertussis,519,17659,1799901,596,36392
NZ_CP071603.1,7236,Bordetella,517,173388,1677680,30,3450,Bordetella holmesii,35814,7108,1847216,96,128
AM902716.1,64596,Bordetella,517,173388,1677680,30,3450,Bordetella petrii,94624,61396,1789795,157,3200
NZ_CP021395.1,18282,Bordetella,517,173388,1677680,30,3450,Bordetella hinzii,103855,18164,1836145,121,118
NZ_CP099728.1,25232,Pantoea,53335,24950,1829296,20,282,Pantoea agglomerans,549,24550,1829315,1,682
NZ_CP036514.1,610,Hafnia,568,596,1853937,1,14,Hafnia alvei,569,539,1853937,1,71
NZ_CP063229.1,34746,Serratia,613,34446,1819764,38,300,Serratia marcescens,615,31357,1819799,3,3389
NZ_CP126697.1,19194,Pediococcus,1253,19019,1835353,1,175,Pediococcus acidilactici,1254,18939,1835354,0,255
NZ_CP102534.1,34684,Enterococcus,1350,34534,1819846,18,150,Enterococcus faecium,1352,7490,1819862,2,27194
