"","species","unique_genus_with_pathogen_00","unique_genus_non_pathogen_03","unique_genus_non_pathogen_02","unique_genus_non_pathogen_01","unique_family_with_pathogen_04","unique_family_with_pathogen_03","unique_family_with_pathogen_02","unique_family_with_pathogen_01","unique_family_non_pathogen_04","unique_family_non_pathogen_03","unique_family_non_pathogen_02","unique_family_non_pathogen_01","unique_family_non_pathogen_00","throat_with_pathogen_04","throat_with_pathogen_03","throat_with_pathogen_02","throat_with_pathogen_01","throat_non_pathogen_04","throat_non_pathogen_03","throat_non_pathogen_02","throat_non_pathogen_01","SI041_2","SI041_1","SI041","SI037","SI035","SI034","SI032","SI030","SI029","SI023","SI021","SI019","SI018","SI010","SI008","SI007","SI006","SI005","SI004","SI003","SI002","SI001","CSI005","CSI004","CSI003","CSI002","CSI001"
"43","Streptococcus iniae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.6372430471584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","Kingella denitrificans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.4638321888816,99.6781115879828,99.5673975027038,NA,99.5174380346567,100,99.5020429009193,NA,NA,NA,NA,NA,NA,99.4652406417112,99.4681531105372,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","Legionella longbeachae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.5931383329668,99.5773457311919,NA,99.6064400715563,99.7062204623834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","Veillonella parvula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.5753286147624,99.5793690535804,99.464036874263,99.6592181490677,NA,NA,NA,NA,99.7561966680211,99.2943548387097,100,98.5849056603774,99.6779859484778,100,99.5863699034863,99.3506493506494,99.5521492220324,100,99.3670886075949,99.6587030716723,100,99.492385786802,99.3839835728953,99.396628216504,100,99.5965557817666,99.3217054263566,99.6941896024465,100,99.0476190476191,99.6116504854369,99.5592448394917,99.6740016299918,100,99.4726930320151
"47","Burkholderia glumae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.5803462143731,99.4456289978678,NA,NA,NA,NA,99.6200160556596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","Aerococcus urinae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.5039682539683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","Haemophilus parainfluenzae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.7906976744186,99.7630331753555,99.5255666842383,99.6954933008526,NA,NA,NA,NA,99.5757678601731,99.422676509559,99.6138996138996,99.4971300858435,99.4996170538678,98.6842105263158,99.3371212121212,NA,99.4793542683126,99.8188405797101,99.3333333333333,100,99.5113129136524,99.1228070175439,99.7619047619048,99.4504641961261,99.5207353763815,99.5070705909404,99.063670411985,99.6697688381867,99.5138617259904,99.5666732322238,NA,99.4050983075047,99.4939404791074,99.5037068807058,99.3247154157824
"50","Aggregatibacter aphrophilus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.5110102591965,99.5643334301481,99.5747093847462,99.3121693121693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","Abiotrophia defectiva",NA,NA,NA,NA,99.4849383486811,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","Clostridium botulinum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.5218170950389,99.4328922495274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
