accession_id,total_reads,genus,genus_taxid,genus_accuracy,genus_sensitivity,genus_specificity,genus_true_positive,genus_true_negative,genus_false_positive,genus_false_negative,species,species_taxid,species_accuracy,species_sensitivity,species_specificity,species_true_positive,species_true_negative,species_false_positive,species_false_negative
NZ_CP007573.1,5300,Streptococcus,1301,0.9993062882382724,0.9967459509275747,0.999875955333794,175209,789940,98,572,Streptococcus anginosus,1328,0.9982429420005198,0.6941509433962264,0.9999208761096865,3679,960443,76,1621
NZ_AP019829.2,3920,Leptotrichia,32067,0.9997566831880508,0.994822665221143,0.9999989137778589,44963,920621,1,234,Leptotrichia wadei,157687,0.9995392511433302,0.9563775510204081,0.9997151468085527,3749,961625,274,171
NZ_CP028108.1,562,Fusobacterium,848,0.9999306288238272,0.998502121993842,0.9999860180173978,35997,929755,13,54,Fusobacterium periodonticum,860,0.9998074173318189,0.701067615658363,0.9999813521165866,394,965239,18,168
NZ_CP072373.1,2570,Prevotella,838,0.9996945597467021,0.9769319492502884,0.9998799602511858,7623,957901,115,180,Prevotella denticola,28129,0.9998819654614374,0.9568093385214008,0.9999968855404989,2459,963246,3,111
NZ_CP008849.1,2768,Alteromonas,226,0.9999937876558651,0.9981936416184971,0.9999989616333922,2763,963050,1,5,Alteromonas australica,589873,0.999310429801029,0.759393063583815,1.0,2102,963051,0,666
NZ_AP014880.1,22259,Streptococcus,1301,0.9993062882382724,0.9967459509275747,0.999875955333794,175209,789940,98,572,Streptococcus intermedius,1338,0.998372365836663,0.931353609775821,0.9999533680952987,20731,943516,44,1528
NZ_AP019823.1,4245,Leptotrichia,32067,0.9997566831880508,0.994822665221143,0.9999989137778589,44963,920621,1,234,Leptotrichia hofstadii,157688,0.9996779934956757,0.9460541813898704,0.9999147231518323,4016,961492,82,229
NZ_CP126983.1,9809,Porphyromonas,836,0.9996013745846789,0.9625853807727597,0.9999811717450654,9442,955992,18,367,Porphyromonas gingivalis,837,0.9995796313802069,0.9596289122234682,0.9999895398583697,9413,956000,10,396
NZ_CP072258.1,9382,Bacteroides,816,0.9967675102684872,0.9541281660237433,0.999939929049533,63814,898883,54,3068,Bacteroides caccae,47678,0.9985566653793309,0.8538691110637391,0.9999759524150571,8011,956414,23,1371
NZ_CP050820.1,4858,Clostridium,1485,0.9998395144431824,0.9920827274196155,0.9999915545176996,18420,947244,8,147,Clostridium botulinum,1491,0.9997763556111445,0.9608892548373816,0.9999729437510991,4668,960935,26,190
NZ_CP045696.1,187,Sodaliphilus,2815786,0.9999937876558651,0.9732620320855615,0.9999989644088016,182,965631,1,5,Sodaliphilus pleomorphus,2606626,0.9999937876558651,0.9732620320855615,0.9999989644088016,182,965631,1,5
NZ_CP083637.1,10572,Gemella,1378,0.9992576248758825,0.9710492122787071,0.9999957500656084,23915,941187,4,713,Gemella haemolysans,1379,0.9999264872610707,0.993662504729474,0.9999958126013482,10505,955243,4,67
