accession_id,total_reads,genus,genus_taxid,genus_accuracy,genus_sensitivity,genus_specificity,genus_true_positive,genus_true_negative,genus_false_positive,genus_false_negative,species,species_taxid,species_accuracy,species_sensitivity,species_specificity,species_true_positive,species_true_negative,species_false_positive,species_false_negative
NZ_CP072891.1,7371,Enterococcus,1350,0.9990707977907641,0.9626694915254237,0.9999527735285361,45438,1947968,92,1762,Enterococcus hirae,1354,0.9995905295550455,0.8916022249355583,0.9999909451684676,6572,1987871,18,799
NZ_CP040058.1,3206,Anaerostipes,207244,0.9986292513256417,0.9321663563004345,0.9999984654613718,37543,1954982,3,2732,Anaerostipes rhamnosivorans,1229621,0.9999358479596644,0.9600748596381784,1.0,3078,1992054,0,128
NZ_CP124202.1,3889,Lysinibacillus,400634,0.9999163016348747,0.9586011828233479,0.9999969870004133,3728,1991365,6,161,Lysinibacillus sphaericus,1421,0.9996937742449605,0.8431473386474673,0.9999994978334023,3279,1991370,1,610
NZ_AP025697.1,31146,Actinomyces,1654,0.9964480819542315,0.9463219620248363,0.999994096929491,124747,1863426,11,7076,Actinomyces naeslundii,1655,0.9985635957218608,0.9085275797855262,0.9999913446979147,28297,1964097,17,2849
NZ_CP049272.1,3655,Campylobacter,194,0.9996692160420196,0.9613578909353557,0.9999909028699424,15972,1978628,18,642,Campylobacter concisus,199,0.9999283301424375,0.9619699042407661,0.9999979915696134,3516,1991601,4,139
NZ_CP015348.1,5272,Sporosarcina,1569,0.9999734370457986,0.9905159332321699,0.9999984924532208,5222,1989985,3,50,Sporosarcina ureae,1571,0.9999619097260507,0.9855842185128983,1.0,5196,1989988,0,76
NZ_CP040915.1,23637,Georgenia,154116,0.9995674749155499,0.9640394297076618,0.9999934064473787,22787,1971610,13,850,Georgenia yuyongxinii,2589797,0.9995579523470626,0.962939459322249,0.9999969568218671,22761,1971617,6,876
NZ_CP034465.1,10208,Jeotgalibaca,1470540,0.999605064001684,0.9658209085360537,0.999997971933589,22154,1972318,4,784,Jeotgalibaca ciconiae,2496265,0.9996642041638684,0.9346590909090909,0.999998488704578,9541,1985049,3,667
NZ_CP014233.1,4355,Gemella,1378,0.9995359000831971,0.8905118300338001,0.999990437730501,7377,1986957,19,907,Gemella sp. oral taxon 928,1785995,0.9979586620290087,0.0659012629161883,0.9999974885793145,287,1990900,5,4068
NZ_CP075566.1,440,Pseudomonas,286,0.999781983300422,0.9802561743684098,0.9999212570206181,13852,1980973,156,279,Pseudomonas fluorescens,294,0.9999483776550424,0.7772727272727272,0.9999974935081862,342,1994815,5,98
NZ_CP012098.1,37069,Anaerostipes,207244,0.9986292513256417,0.9321663563004345,0.9999984654613718,37543,1954982,3,2732,Anaerostipes hadrus,649756,0.9986748594168179,0.9287544848795489,0.9999984679737575,34428,1958188,3,2641
NZ_CP039292.1,18324,Actinomyces,1654,0.9964480819542315,0.9463219620248363,0.999994096929491,124747,1863426,11,7076,Actinomyces procaprae,2560010,0.9991895793029479,0.9131739794804627,0.9999868483349992,16733,1976910,26,1591
NZ_CP012069.2,6501,Olsenella,133925,0.9999739382336137,0.9920012305799107,1.0,6449,1988759,0,52,Olsenella sp. oral taxon 807,712411,0.9999719334823531,0.9913859406245193,1.0,6445,1988759,0,56
NZ_CP048000.1,45710,Anaerocolumna,1843210,0.9994657337890801,0.9767446948151389,0.99999846118335,44647,1949547,3,1063,Anaerocolumna sedimenticola,2696063,0.9994436815252148,0.9757383504703566,0.9999994870611166,44601,1949549,1,1109
NZ_AP019823.1,11937,Leptotrichia,32067,0.9954442027605425,0.8725748940112867,0.9999932433345495,62157,1924013,13,9077,Leptotrichia hofstadii,157688,0.9980573960285878,0.6885314568149451,0.9999203357193962,8219,1983165,158,3718
NZ_CP123403.1,24045,Trueperella,1069494,0.9994998145605084,0.9584944894988563,1.0,23047,1971215,0,998,Trueperella pyogenes,1661,0.9992437075869811,0.9372426699937617,1.0,22536,1971215,0,1509
NZ_CP030280.1,13192,Blautia,572511,0.9995840141134489,0.938826561552456,0.9999883959581609,12385,1982045,23,807,Blautia argi,1912897,0.9994762587331977,0.9209369314736203,0.9999989909528836,12149,1982066,2,1043
NZ_CP023482.1,34431,Dermabacter,36739,0.9993043513126109,0.959716534518312,0.9999994900116226,33044,1960828,1,1387,Dermabacter jinjuensis,1667168,0.9984282750117779,0.9089483314454997,0.9999994900116226,31296,1960828,1,3135
NZ_AP021887.1,8070,Streptococcus,1301,0.9972018684281748,0.9759799847941015,0.9999157731459917,220794,1768883,149,5434,Streptococcus sp. 116-D4,2598453,0.9988848571113539,0.7258983890954152,0.9999934580991249,5858,1987177,13,2212
NZ_CP047591.1,11778,Aminipila,2060094,0.9998531519701693,0.9751231108847003,1.0,11485,1983482,0,293,Aminipila terrae,2697030,0.9998346080210098,0.9719816607233825,1.0,11448,1983482,0,330
NZ_CP031243.1,11851,Haemophilus,724,0.999041227709672,0.9551545303076526,0.9999989757493289,40702,1952645,2,1911,Haemophilus haemolyticus,726,0.9981566312159819,0.7034849379799173,0.9999173140789419,8337,1983245,164,3514
NZ_CP126745.1,38117,Cutibacterium,1912216,0.9997864939907581,0.9901684071878822,0.9999959032008292,42098,1952736,8,418,Cutibacterium acnes,1747,0.9992978358710143,0.9632709814518456,0.9999994890511322,36717,1957142,1,1400
