"","species","read_length","species_sensitivity","species_specificity","species_accuracy","species_precision","genus_sensitivity","genus_specificity","genus_accuracy","genus_precision"
"1172","Streptococcus gordonii","150",96.0717061526007,99.9967167860669,99.9642607341259,99.5619479555016,99.0862461370932,99.9869060210079,99.8640240497682,99.9275421676089
"1173","Streptococcus gordonii","300",98.2766819233063,99.994354736132,99.9830985047246,98.5316285018362,99.4904661968488,99.9872877740613,99.8930085737887,99.9332217484964
"1174","Streptococcus gwangjuense","75",56.3216323246798,99.9993789799846,99.4331695694939,99.8409759088978,97.5746017421362,99.9948895288244,99.7668864365066,99.8847214209515
"1175","Streptococcus gwangjuense","150",77.6275575603735,99.9993712486518,99.6199830959226,99.7395544830462,98.9106846442451,99.9922779255001,99.9109879407061,99.9202893498266
"1176","Streptococcus gwangjuense","300",87.3935021185005,99.9993985560249,99.8374496651484,99.8884241488851,99.1719793758333,99.9905267647116,99.9318956141061,99.7727487262541
"1177","Streptococcus halotolerans","75",97.0227070041847,99.9993436607473,99.9775969046641,99.9081661486295,97.5979984794102,99.9915773145992,99.7201868428175,99.9325617919554
"1178","Streptococcus halotolerans","150",99.4990607388854,99.9991970564088,99.9983966827366,99.4990607388854,98.472990841863,99.9915163043236,99.8361610171445,99.9244622907804
"1179","Streptococcus halotolerans","300",99.6326645945182,99.9994784419182,99.9967900395964,99.9291483633272,99.4551577487155,99.9824801353935,99.9226503089846,99.8625442149442
"1180","Streptococcus himalayensis","75",90.2706504845877,99.9998646908829,99.8831755888421,99.9879221583103,98.3208012930264,99.9877805645378,99.8869837625564,99.2623960856088
"1181","Streptococcus himalayensis","150",96.3395708431719,100,99.9702711457415,100,99.4388040002159,99.9908741492031,99.9387037517517,99.1778527825659
"1182","Streptococcus himalayensis","300",98.4167197778512,99.99989516534,99.980814569922,99.9914368898784,99.8089117345407,99.9886027667029,99.9686285209108,99.5280067869917
"1183","Streptococcus intermedius","75",70.6731368921346,99.9986739263515,99.5858158321838,99.8323882258418,98.0202428825581,99.9948298968217,99.6178903188473,99.9775507854746
"1184","Streptococcus intermedius","150",85.59695148041,99.996309517857,99.8214550177132,99.4260037626804,99.1195263397962,99.9851587602118,99.850444415978,99.9234025469628
"1185","Streptococcus intermedius","300",92.554440935626,99.9961598564981,99.8970349547905,99.5700811434026,99.6807170588744,99.9899079017328,99.9306361485596,99.956604064407
"1186","Streptococcus koreensis","75",36.9550130289198,99.9995442951676,98.8558116624388,99.7645148512453,97.8421859396747,99.9934263655853,99.5450178772462,99.9746596529131
"1187","Streptococcus koreensis","150",51.5556056801937,99.9998322620914,99.6822193667232,99.8808540674157,99.2906645688367,99.9853692599027,99.8733117273094,99.9285687932183
"1188","Streptococcus koreensis","300",62.2745289759401,99.9995399596366,99.3177911782696,99.9194377020246,99.50223567956,99.9888903202838,99.8831279953901,99.9567809263472
"1189","Streptococcus mitis","75",64.1840952612551,99.9923460896538,97.6557047378944,98.9153707001371,96.599925092767,99.9887167365278,99.6102180995949,99.7174990992136
"1190","Streptococcus mitis","150",82.5156887554275,99.9934465078534,98.8019805743459,99.3553797254401,98.5929125731276,99.9838882717653,99.8393942631307,99.6311141299672
"1191","Streptococcus mitis","300",90.243135877675,99.9913305600624,99.3247389326588,99.128191937681,99.2128272987421,99.9820614399315,99.8983655952901,99.6580175959268
"1192","Streptococcus mutans","75",84.4929041190723,99.9993977025363,99.9769453605044,99.5108030982471,97.5979984794102,99.9915773145992,99.7201868428175,99.9325617919554
"1193","Streptococcus mutans","150",96.3593610638125,99.9959415502061,99.9509986161368,99.6645420999665,98.472990841863,99.9915163043236,99.8361610171445,99.9244622907804
"1194","Streptococcus mutans","300",98.716119828816,99.99751125638,99.9956510213887,98.2954545454545,99.4551577487155,99.9824801353935,99.9226503089846,99.8625442149442
"1195","Streptococcus oralis","75",70.182613119281,99.9872197523974,98.7512853483682,97.4770551374707,96.071264427106,99.9855144511482,99.5440710851951,99.8335295925284
"1196","Streptococcus oralis","150",87.1106763230509,99.9879252050295,99.4558940942666,98.4070704423592,98.2575517697188,99.9784936508355,99.8057709710027,99.754639149092
"1197","Streptococcus oralis","300",93.6638920114589,99.9807289256833,99.714334117065,97.2857622037116,98.9568799041963,99.9741311267817,99.8666052873246,99.7313383871162
"1198","Streptococcus parauberis","75",89.8365741690173,99.9998240020034,99.9753164616731,99.9413735343384,95.0203852541297,99.9935296914642,99.8517987256537,98.4850432396248
"1199","Streptococcus parauberis","150",94.2114244739648,99.9997484998013,99.9627702414916,99.9320097905902,97.2807131080063,99.9926236887364,99.8976861508442,99.599105925758
