,,,,DOADOR SAUDAVEL,DOADOR SAUDAVEL,DOADOR SAUDAVEL,DOADOR SAUDAVEL,DOADOR SAUDAVEL,INFECCAO VIRAL,INFECCAO VIRAL,INFECCAO VIRAL,INFECCAO VIRAL,INFECCAO VIRAL,INFECCAO VIRAL,INFECCAO VIRAL,INFECCAO VIRAL,INFECCAO VIRAL,INFECCAO BACTERIANA,INFECCAO BACTERIANA,INFECCAO VIRAL,INFECCAO BACTERIANA,INFECCAO BACTERIANA,INFECCAO BACTERIANA,INFECCAO BACTERIANA,INFECCAO BACTERIANA,INFECCAO BACTERIANA,INFECCAO BACTERIANA,INFECCAO BACTERIANA
taxon_name,tax_id,genus_name,pathogenic,CSI001,CSI002,CSI003,CSI004,CSI005,SI001,SI002,SI003,SI004,SI005,SI006,SI007,SI008,SI010,SI018,SI019,SI021,SI023,SI029,SI030,SI032,SI034,SI035,SI037,SI041
Prevotella intermedia,28131,Prevotella,Yes,0.00882231584207821,0.0259636430602528,0.114036311092088,0.174628433290026,0.0298371052464893,0.0701372148180147,0.181480304944641,16.4731130068658,0.106278909295572,0.0272538536508617,0.0409719238384298,0.116140400981878,0.0216955443323776,0.00859375723595956,0.427703331733835,1.6857155202834,0.0369903973054624,0.0224108075222848,0.0180448064725917,0.0337426780598217,5.64036258942864,1.0140645548198,3.47094189026275,2.35786094544082,0.0704130839900627
Prevotella jejuni,1177574,Prevotella,No,2.14943241318458,0.10648363031821,0.00313654514645596,0.00364934179043256,,0.324033284003586,3.24154585678963,0.0342862251399438,0.00569351919028684,,0.530420146248729,0.0164468954436716,0.00794784786425812,,0.00950818226330985,0.816135425658382,0.776796901912145,0.0161077895903072,0.0228925939624278,0.938566635550786,0.0561230516984224,10.5172230852185,5.1729877176944,0.296184628752646,0.0340680251159304
Prevotella melaninogenica,28132,Prevotella,Yes,,1.50030254643308,,0.488471561008523,,,0.55121886332403,,,,,0.517191276384861,,,0.252623256583156,0.280804894113828,,1.15625872942897,1.01777769947097,,,5.4106410757601,4.78224208173578,19.0254765142953,0.886381778135974
Prevotella scopos,589437,Prevotella,No,0.00308081874192197,0.00230057106451307,,0.00175709443626314,,0.00841644893515809,0.609451424913659,0.00571436134299648,0.00379568523968032,0.00402405788035039,0.0259119928317697,0.00379543461120056,,,0.0744259660881958,0.0112203957813621,0.00486715103717333,0.0140067700075444,,0.0072676333836868,,0.0657729018928711,0.0653246076206247,3.20285574975048,0.03616984425257
Prevotella sp. oral clone DO027,163593,Prevotella,No,,,,,,,,,,,,,,,,,8.05058589332197,,,,,,,,
Prevotella sp. oral clone ID019,242670,Prevotella,No,,,,,,,4.43196143492532,,,,,,,,,,,,,,,,,,
Rhinovirus A,147711,Enterovirus,Yes,,,,,,,0.483823124029678,0.00142859033574912,,,,,,,,,,,,,,,,,
Rhinovirus C,463676,Enterovirus,Yes,,,,,,,0.000502005991951395,0.105715799009365,,,0.000885892352474574,,,,,,,,,,,,,,
Rothia dentocariosa,2047,Rothia,No,0.00714188740529867,0.00427249666510682,1.60143597121234,0.0163544083462527,0.0139239977779273,0.0098191763885147,0.016315661906985,0.00571436134299648,0.00474460221498358,0.00749937146973907,0.00376497611318146,0.0460513727360136,0.0107403292680686,,,18.2213258086059,4.28406324986732,0.00910440458653493,0.00592513835787493,0.0168713206563294,,0.00769181436980756,0.0138476148058073,,1.13510334532255
Rothia mucilaginosa,43675,Rothia,Yes,37.2040440580772,11.0591742631433,44.3651295305043,17.2354583961973,50.9278830111198,81.0531654981747,1.89249318175572,,,5.32290884904256,2.66561668374678,35.7282868905043,,0.276578418143613,1.41262008469905,,17.4565136834948,8.21707840451512,41.6435482378228,10.6655332900919,,11.0977177419414,24.4512826423832,5.11353120174772,51.011909289423
