accession_id,total_reads,genus,genus_taxid,genus_true_positive,genus_true_negative,genus_false_positive,genus_false_negative,species,species_taxid,species_true_positive,species_true_negative,species_false_positive,species_false_negative
NZ_CP019962.1,2504,Eubacterium,1730,2503,997496,0,1,Eubacterium limosum,1736,2164,997496,0,340
NZ_CP039712.1,3745,Vagococcus,2737,3720,996248,7,25,Vagococcus zengguangii,2571750,3702,996255,0,43
NZ_CP011861.1,5842,Erysipelothrix,1647,5837,994158,0,5,Erysipelothrix rhusiopathiae,1648,5242,994158,0,600
NZ_CP123403.1,2044,Trueperella,1069494,2039,997956,0,5,Trueperella pyogenes,1661,2021,997956,0,23
NZ_CP084018.1,3584,Megamonas,158846,3574,996416,0,10,Megamonas funiformis,437897,3536,996416,0,48
NZ_CP125806.1,832,Pasteurella,745,818,999165,3,14,Pasteurella multocida,747,555,999165,3,277
NZ_CP070914.1,33191,Escherichia,561,5402,966773,36,27789,Escherichia coli,562,4700,966783,26,28491
NC_076948.1,7905,Rubivirus,11040,7904,992095,0,1,Rubivirus rubellae,2846071,7904,992095,0,1
NZ_CP025420.1,1600,Streptococcus,1301,1534,998357,43,66,Streptococcus parauberis,1348,1493,998400,0,107
NZ_CP125315.1,11386,Lacticaseibacillus,2759736,11331,988613,1,55,Lacticaseibacillus rhamnosus,47715,11144,988614,0,242
NZ_CP066811.1,4536,Peptacetobacter,2743582,4463,995463,1,73,Peptacetobacter hiranonis,89152,4463,995463,1,73
NZ_AP025575.1,1570,Eggerthella,84111,1564,998430,0,6,Eggerthella lenta,84112,1528,998430,0,42
NZ_CP084221.1,450,Lactobacillus,1578,442,999542,8,8,Lactobacillus johnsonii,33959,428,999550,0,22
NZ_CP126077.1,1928,Virgibacillus,84406,1918,998071,1,10,Virgibacillus halodenitrificans,1482,1866,998071,1,62
NZ_CP050134.2,5558,Corynebacterium,1716,5552,994435,7,6,Corynebacterium matruchotii,43768,5550,994442,0,8
NZ_CP017812.1,8731,Boudabousia,2767318,8721,991269,0,10,Boudabousia tangfeifanii,1912795,8721,991269,0,10
NZ_CP104580.1,1789,Stutzerimonas,2901164,1637,998210,1,152,Stutzerimonas stutzeri,316,1377,998210,1,412
NZ_CP033719.1,1223,Propionibacterium,1743,1222,998776,1,1,Propionibacterium acidifaciens,556499,1221,998777,0,2
NZ_CP118095.1,2840,Aerococcus,1375,2784,997154,6,56,Aerococcus christensenii,87541,2779,997160,0,61
NZ_CP040348.1,1747,Collinsella,102106,1733,998251,2,14,Collinsella aerofaciens,74426,1732,998251,2,15
NC_044045.1,978,Norovirus,142786,978,999022,0,0,Norwalk virus,11983,978,999022,0,0
NZ_CP116810.1,3334,Rhodopseudomonas,1073,3320,996666,0,14,Rhodopseudomonas palustris,1076,3318,996666,0,16
NZ_CP126983.1,1526,Porphyromonas,836,1500,998472,2,26,Porphyromonas gingivalis,837,1495,998474,0,31
NZ_CP045696.1,2335,Sodaliphilus,2815786,2309,997665,0,26,Sodaliphilus pleomorphus,2606626,2309,997665,0,26
NC_004718.3,2737,Betacoronavirus,694002,2737,997263,0,0,Severe acute respiratory syndrome-related coronavirus,694009,2737,997263,0,0
NZ_CP017038.2,4550,Tannerella,195950,4541,995450,0,9,Tannerella serpentiformis,712710,4541,995450,0,9
NC_003976.2,4951,Parechovirus,138954,4951,995049,0,0,unclassified Parechovirus species,,0,995049,0,4951
NZ_CP034169.1,526,Enterococcus,1350,520,999441,33,6,Enterococcus avium,33945,493,999474,0,33
NZ_CP012098.1,1845,Anaerostipes,207244,1736,998153,2,109,Anaerostipes hadrus,649756,1736,998154,1,109
NZ_CP068103.1,6970,Peptoniphilus,162289,6395,993026,4,575,Peptoniphilus harei,54005,6339,993030,0,631
